ID,target
000137c73,4719817.128286524
00021489f,4719839.509710138
0004d7953,5230017.854220049
00056a333,9327718.114970798
00056d8eb,4719839.509710138
0005fc190,4910947.604588331
000787e86,4719865.0224904185
0008510a0,4719839.509710138
000895faf,4719839.509710138
000986fba,6760345.714969475
0009efcc5,4663322.3082952425
000dd8f00,4719839.509710138
000e1cdc2,4778258.2818007255
00103739c,4719839.509710138
00134b367,4716943.71948196
001788d0d,5474646.670711213
0019c8ad7,5016156.820179256
001a267b9,4750602.298273771
001a85486,5014331.034334936
001c4de06,4719839.509710138
001f9014b,4761694.691836325
00216fb94,4719839.509710138
00235690e,5254995.784337971
00240739d,4855821.107420566
0024c3747,4719839.509710138
00297052d,5701876.90716056
002ab8f85,4719839.509710138
002bed5c0,4779986.616505841
002bf3974,6865727.527549362
002d23a26,4731150.199830789
002f27de9,4908950.270382299
0030d8bb4,7836112.12255039
003146acd,4719839.509710138
003223263,5765494.593643472
00335575e,7944567.181113215
00337cf9d,6977266.808240693
003394397,4719839.509710138
0036358a3,4787435.595377581
003770d30,4719839.509710138
003bed5ea,4719839.509710138
003ea6427,6512396.351660216
003ef8132,4719839.509710138
003fd1723,4757435.539096389
0041861b4,5025060.591572972
0042b718b,4817008.058872091
004381d8f,5251128.139346575
0043ca764,4719839.509710138
004486837,7424422.570513366
0045c123e,5437847.541796212
0048915c6,4531095.39871603
004ab9a09,5559820.063964535
004b2e1c9,11583582.768627577
004c54732,4971422.933736505
004cdefce,4719839.509710138
004dd971b,5730809.794529619
004f9329b,4719839.509710138
004fd2bca,4922457.303257673
0054bfedb,6531069.681247838
0054ec58a,4748412.211256974
00551f45d,13697843.095251765
005777b4c,4978964.3810872575
00578d6ea,4738691.2798228
005802488,4713654.981394219
0059833b6,5597005.578664939
005a70085,4689296.651845417
005b148a0,4719839.509710138
005c28df4,5576325.332063388
005f8dc26,4719839.509710138
00603c202,13373035.833533857
006049609,4552596.3736095065
00612f47e,4722823.447263691
00647a57f,4719839.509710138
0065853ee,4719839.509710138
006589d5e,4768032.326817434
006598823,4618996.390172383
0065c093c,6220564.292013924
006738351,4613260.1504965
006a0c6a8,5942223.444089657
006e9efe6,4722703.4965929715
006f029d3,4719839.509710138
0070f35a2,4713607.110685762
007135f85,4719839.509710138
007285433,5578380.21400876
00735e101,4794801.1715907315
0074ecf4e,4719839.509710138
007635fa9,4887087.449339745
007723613,4719839.509710138
007867da9,4719839.509710138
0078bfbd6,5302539.900977729
0078ce229,4719839.509710138
007a89d50,4719839.509710138
007d43dfa,4795386.86955052
007ee9e05,4750933.866711073
007ffeae2,4719839.509710138
00835c85c,4719839.509710138
0084b08f1,4734868.185883916
0087fb290,4718550.666873988
0088a96bd,6122870.885622224
008ac4292,5937791.176179379
008d8cca8,4719839.509710138
008e07b8c,4719839.509710138
008e5e25a,5910269.489579577
0094edcdb,5343164.713872754
00950141c,4842285.200023269
009566ef1,7839131.629538176
0095c81d4,4719839.509710138
0097a6ed4,4843933.970562886
0098fef9a,5240088.479012988
009b321ec,5607518.138418983
009cd681e,5051533.864597945
009f34f86,4719839.509710138
009f35cd3,4719839.509710138
009f65109,6483945.109376003
00a19014a,6031561.426152113
00a27e76a,4823724.270788692
00a3b6ef7,4118999.5726529276
00a427603,5364864.414701524
00a6dc8be,4719839.509710138
00a811734,7129714.6556272255
00a8f58a7,4719839.509710138
00aaae151,4719839.509710138
00ab17f67,4719839.509710138
00ac2d3a5,4749966.537276368
00adab1b6,4965311.736335203
00aef0d56,4719839.509710138
00b0b06c4,4810169.396153717
00b0e2303,4453041.180592305
00b1fbbc9,4665955.692739438
00b43e0c1,6008925.8212235505
00b7190a8,4719839.509710138
00b722e1b,4746975.530502042
00bba815f,4719077.0254776925
00bbb1c42,4719839.509710138
00bc2b665,4719839.509710138
00bc35689,4826344.074112356
00be23f52,6590527.601880789
00be24ac5,4719839.509710138
00bfd0f70,4773969.1619154755
00c02f73e,5641920.711582859
00c08e5b3,4476321.3552911645
00c8690ff,4804541.105955904
00c8df4d5,10654886.88567597
00c8e30de,4719839.509710138
00ca3fb04,5597995.306462852
00cabf621,4596696.5997659005
00cb48ae3,5340144.09810612
00cb6b147,4788645.624226492
00cc91a22,4987506.292242432
00cd65e9d,6477785.193517596
00cd7d6a8,5592599.358168543
00cdc1483,4719839.509710138
00ce9bea5,7685220.479836838
00cea0091,5719361.72005252
00cea68c6,4719839.509710138
00d5a5975,5355465.6915954985
00d80a3a4,28839542.18437233
00d9f3864,4751589.417006711
00da4bd31,8206522.378212133
00df4dd77,4719839.509710138
00e1a55bf,4719839.509710138
00e332971,4719839.509710138
00e5b6b1b,4782984.962575405
00e85d5e3,4719839.509710138
00e90abfa,4860837.106336585
00e9708b4,4719839.509710138
00e9c680f,7756822.940432983
00eaa4394,4724267.7317886455
00eae8832,7076891.589873934
00ebefdc0,4995437.185351524
00ecbcb1b,5661718.087931859
00ed49382,9652738.219171515
00ed87564,4719839.509710138
00ef96cfd,4733358.447520907
00efe7ca3,4719839.509710138
00f36aa18,4719839.509710138
00f3fb071,4495231.388203066
00f43f548,7071510.643522669
00f4d58ec,4719839.509710138
00f56e106,4728967.379926863
00f84d8c2,4681622.092370769
00f92953b,4719839.509710138
00fa1d469,5716522.884684779
00ff96f49,7326122.7119141575
0100ce0d8,6389642.247355796
0102ea9e1,4719839.509710138
0104b3af3,4814178.0841647675
010672441,4719839.509710138
010771ca5,4719839.509710138
0108aea9f,4719839.509710138
010a479e1,4717470.587102643
010d0a2dd,6441374.176239295
010e3cea2,4719839.509710138
010e5417b,4607064.98511792
01108a561,4725230.977993808
0110cca98,5253338.761259125
011449698,4719839.509710138
0114795f0,5160513.935241014
011626c20,7907592.212045908
0117c8f27,5020858.234558673
0117dcb47,10255028.6534831
0118c34be,4547832.888484898
0119efcb9,4719839.509710138
011a58e13,4719839.509710138
011b7902b,10855420.5279592
011ca122e,6441958.080233459
012053244,4950111.77805357
0122a258e,5096973.898896331
0122a4305,4719839.509710138
01230d8ba,4719839.509710138
012414f4e,4874857.025580808
012452125,5687453.679651564
0124529b5,4724591.485287402
012556288,5832799.201460489
01257c24c,4719839.509710138
01258b972,4719839.509710138
0125b64db,4720299.508621941
01295ef92,4617239.434634417
012a2752f,4719839.509710138
012b6ba95,6691507.265947468
012b96b58,5371942.75040553
012e881b9,4719773.922364404
012f25e94,4719839.509710138
012fa70bb,5531256.064466558
01304fc0a,4694690.996248845
013230913,4670434.345597823
